New Run
New Run
New Run
New Run
New Run
New Run
New Run
New Run
New Run
New Run
New Trainings Run of User: ck92
 Current Time: 13.158
 Current Scenario: Measurement Occlusion
 Current Input method: HeadHybrid
Name of the gameobject; Click Time; Time since Instantiate; Bounding Rect Area; Screen Position; Distance from last Target; Distance from last Target Screen; Angle between last and current Target
Target_029; 89.01299; 1.399765; 183.8662; (944.2, -174.4, 0.0); 11.28987; 294.085; 21.79332
Target_030; 90.60285; 1.589867; 777.3659; (878.2, -322.8, 0.0); 7.163174; 274.5034; 21.38302
Target_031; 92.57905; 1.976196; 4299.047; (960.1, -369.6, 0.0); 6.141827; 743.5361; 41.10479
Target_032; 95.24607; 2.667023; 513.8883; (932.3, -168.4, 0.0); 6.653617; 1001.012; 52.74553
Target_033; 97.90153; 2.655457; 320.76; (752.9, -371.0, 0.0); 17.30479; 48893.46; 99.94589
Target_034; 100.2457; 2.34417; 347.4235; (925.6, -273.1, 0.0); 17.41931; 19119.8; 83.66512
Target_035; 102.3939; 2.148216; 1371.059; (869.4, -138.7, 0.0); 11.85115; 3104.986; 76.01901
Target_036; 107.8126; 5.418716; 416.6632; (808.4, -328.2, 0.0); 8.921134; 769.3865; 52.20195
Target_037; 109.5687; 1.756042; 174.6812; (860.2, -219.2, 0.0); 10.82532; 814.2028; 45.79878
Target_038; 112.7568; 3.188118; 725.4637; (948.5, -352.5, 0.0); 17.96116; 4953.207; 97.70421
Target_039; 114.9344; 2.177567; 397.4117; (1019.1, -103.9, 0.0); 4.487108; 454.484; 32.57473
Target_040; 116.9788; 2.044472; 310.2216; (989.8, -243.6, 0.0); 4.978653; 310.9101; 24.16352
Target_041; 124.1791; 7.200226; 529.6013; (837.2, -101.6, 0.0); 18.49264; 377.2305; 152.4884
Target_042; 125.8125; 1.633484; 3342.408; (749.2, -347.9, 0.0); 5.632174; 556.0576; 42.35468
Target_043; 128.4009; 2.588326; 497.5755; (962.4, -64.4, 0.0); 11.63186; 440.9112; 149.2486
Target_044; 129.6578; 1.256943; 254.9051; (898.9, -214.4, 0.0); 5.284011; 242.7818; 19.10938
Target_045; 131.7231; 2.065262; 118.3005; (899.7, -95.7, 0.0); 18.26064; 10311.42; 83.92023
Target_046; 133.3671; 1.644028; 550.2524; (908.9, -105.4, 0.0); 10.43773; 663.9667; 41.37957
Target_047; 137.5679; 4.200775; 117.8784; (927.8, -243.6, 0.0); 13.78064; 1061.497; 59.10104
Target_048; 139.2784; 1.710495; 3456.155; (1057.7, -93.6, 0.0); 15.6615; 1686.849; 77.73402
Target_049; 141.6892; 2.410812; 206.2497; (1023.6, -447.9, 0.0); 14.91499; 543.9886; 40.2718
Target_050; 144.4014; 2.712265; 825.7191; (820.3, -270.5, 0.0); 21.28934; 1113.577; 118.1405
Target_051; 146.8005; 2.399094; 318.1437; (971.8, -305.8, 0.0); 15.02577; 24482.62; 92.55007
Target_052; 148.2115; 1.410965; 1142.91; (1035.5, -447.7, 0.0); 6.468241; 323.2777; 23.62114
Target_053; 150.2999; 2.08844; 7389.914; (823.4, -422.8, 0.0); 7.642322; 6658.443; 70.55475
Target_054; 153.7458; 3.445862; 147.3041; (822.7, -279.6, 0.0); 16.94407; 3066.66; 64.13779
Target_055; 155.9897; 2.243851; 455.1927; (898.6, -296.9, 0.0); 12.6591; 667.4453; 40.77291
Target_056; 157.378; 1.388321; 214.2867; (866.2, -138.7, 0.0); 5.036566; 367.8394; 26.71507
Target_057; 158.7226; 1.34465; 312.2025; (966.1, -54.7, 0.0); 4.60465; 313.9433; 24.64109
Target_058; 161.4448; 2.722153; 621.5311; (710.9, -363.8, 0.0); 16.1804; 49325.27; 107.5576
Target_059; 162.6897; 1.244919; 611.5756; (866.6, -112.7, 0.0); 7.907699; 886.443; 50.70232
Target_060; 168.3441; 5.654449; 194.5023; (841.9, -280.3, 0.0); 8.627214; 461.6838; 33.77193
Target_061; 169.3447; 1.00058; 1914.197; (883.9, -117.6, 0.0); 10.24882; 222.5025; 17.13477
Target_062; 171.4556; 2.11084; 7349.114; (703.4, -386.1, 0.0); 4.377104; 1541.037; 74.48924
Target_063; 172.5774; 1.121841; 1973.314; (771.1, -229.6, 0.0); 2.270947; 202.5883; 14.40405
Target_064; 174.0335; 1.456116; 108.8511; (847.7, -122.3, 0.0); 14.75149; 1121.795; 55.21693
Target_065; 176.9772; 2.943695; 397.0012; (1011.4, -411.9, 0.0); 21.76525; 4154.734; 91.80936
Target_066; 180.0337; 3.056458; 185.2055; (808.2, -169.7, 0.0); 23.53377; 1546.003; 114.1908
New Run
New Trainings Run of User: ck92
 Current Time: 12.80523
 Current Scenario: Measurement Occlusion
 Current Input method: HeadHybrid
Name of the gameobject; Click Time; Time since Instantiate; Bounding Rect Area; Screen Position; Distance from last Target; Distance from last Target Screen; Angle between last and current Target
Target_000; 14.29411; 1.488881; 271.7355; (885.0, -219.1, 0.0); 12.51384; 3238.926; 30.60931
Target_001; 28.35042; 14.05631; 173.8092; (741.5, -358.1, 0.0); 16.62215; 1043.307; 63.34891
Target_002; 30.52982; 2.179401; 177.9051; (833.7, -190.6, 0.0); 12.15269; 741.4582; 42.2654
Target_003; 32.17232; 1.642494; 6867.491; (866.3, -372.4, 0.0); 11.46186; 809.7087; 53.0673
Target_004; 34.03882; 1.866505; 1521.418; (862.9, -118.2, 0.0); 4.182567; 1118.156; 56.14944
Target_005; 35.52723; 1.488411; 231.8384; (876.7, -123.8, 0.0); 7.934825; 370.4944; 27.13323
Target_006; 37.38285; 1.855618; 2530.235; (1007.7, -176.1, 0.0); 11.93722; 2005.962; 78.53886
Target_007; 40.82798; 3.445126; 351.7713; (745.3, -188.0, 0.0); 12.59457; 437.1726; 150.306
Target_008; 42.57115; 1.743172; 559.1539; (981.5, -220.7, 0.0); 9.836436; 1227.586; 66.35583
Target_009; 44.79414; 2.222992; 533.7256; (921.5, -297.5, 0.0); 8.795365; 985.5226; 54.39627
Target_010; 47.0055; 2.211357; 142.9946; (840.7, -261.1, 0.0); 19.08506; 3667.119; 75.02332
Target_011; 49.19434; 2.188843; 6453.278; (981.6, -308.0, 0.0); 18.31068; 1957.558; 71.91576
Target_012; 52.24916; 3.054817; 379.4799; (1042.8, -344.8, 0.0); 9.776393; 500.4344; 36.19484
Target_013; 53.683; 1.433842; 157.2791; (897.0, -230.5, 0.0); 6.841906; 259.6132; 18.86735
Target_014; 55.10526; 1.422256; 895.356; (903.5, -353.5, 0.0); 10.29279; 337.7633; 24.54162
Target_015; 59.58309; 4.477837; 98.64694; (979.9, -143.7, 0.0); 14.19181; 798.7031; 49.44815
Target_016; 60.91599; 1.332897; 4511.674; (912.0, 64.4, 0.0); 15.4088; 377.9164; 28.91617
Target_017; 62.68318; 1.767193; 1201.743; (896.5, -395.9, 0.0); 6.709854; 5893.698; 89.10931
Target_018; 64.58404; 1.900856; 353.6323; (913.7, -322.0, 0.0); 7.754248; 528.4225; 33.09407
Target_019; 66.22733; 1.643295; 851.8348; (911.6, -78.2, 0.0); 7.982381; 502.8191; 35.9747
Target_020; 68.48267; 2.255333; 267.5203; (1007.2, -103.7, 0.0); 7.49312; 692.0815; 47.91985
Target_021; 69.59377; 1.111099; 109.2385; (843.5, -177.3, 0.0); 10.31871; 367.8439; 27.83324
Target_022; 71.58331; 1.98954; 100.097; (825.4, -167.5, 0.0); 14.38875; 714.8712; 46.8883
Target_023; 73.42737; 1.844063; 210.3291; (890.8, -326.9, 0.0); 6.496119; 258.0883; 20.21474
Target_024; 75.41669; 1.989319; 160.9041; (901.3, -203.1, 0.0); 8.446686; 494.2498; 32.54775
Target_025; 78.82685; 3.410164; 165.203; (760.5, -341.8, 0.0); 27.35024; 2507.904; 111.4196
Target_026; 83.01546; 4.188606; 120.6223; (1008.4, -276.8, 0.0); 31.67434; 891.403; 123.4264
Target_027; 85.50552; 2.490067; 122.9423; (907.3, -218.9, 0.0); 18.6545; 1686.384; 62.35503
Target_028; 87.46015; 1.954628; 385.0503; (877.5, -56.8, 0.0); 12.95254; 637.4542; 42.77211
Target_029; 92.48219; 5.022041; 205.4075; (739.2, -191.1, 0.0); 20.82049; 666.585; 141.8036
